_id,Inspection ID,Facility ID,Facility Name,Facility Address,Facility Address 2,Facility Municipality Name,Facility City,Facility County,Facility State,Facility Postal Code,Facility Latitude,Facility Longitude,Venue Type,Inspection Date,Inspection End,Inspection Purpose,Inspection Passed,Inspection Number,Inspector Name,"Free Chlorine, Shallow","Free Chlorine, Deep","Combined Chlorine, Shallow","Combined Chlorine, Deep","Free Bromine, Shallow","Free Bromine, Deep","pH Value, Shallow","pH Value, Deep",Cyanuric Acid,Turnover,Enclosure,Main Drain Visible,Safety Equipment,Disinfectant Level,pH Balance,No Imminent Health Hazards,Abated Date
59327,197455,10019,DOUBLETREE BY HILTON GREEN TREE SPA,500 MANSFIELD AVENUE,,Green Tree,Pittsburgh,Allegheny County,PA,15205,40.4184590864671,-80.0596180576801,SPA/HOT TUB (INDOOR),2021-12-29T10:15:00,2021-12-30T10:20:00,FOLLOW UP INSPECTION,t,3,WILSON ANGELA,,,,,,,,,,,t,t,f,t,t,t,2022-01-04
59328,197532,1399,HOME 2 SUITES POOL,8630 DUNCAN AVENUE,,McCandless,PITTSBURGH,Allegheny County,PA,15237,40.5616742389107,-80.027034224525,POOLS (INDOOR),2022-01-05T15:00:00,2022-01-06T15:30:00,FOLLOW UP INSPECTION,t,2,NOBBS SCOTT,,,0.6,,,,,,,,t,t,f,t,t,t,2022-02-15
59329,197658,2320,YMCA /SEWICKLEY VALLEY / SPA,625 BLACKBURN ROAD,,Sewickley,SEWICKLEY,Allegheny County,PA,15143,40.5432136986283,-80.1799764631116,SPA/HOT TUB (INDOOR),2022-01-13T12:00:00,2022-01-14T12:30:00,INITIAL INSPECTION,t,1,LAURIA D. ANTHONY,,,,,4,,7.5,,,80,t,t,f,t,t,t,2022-03-03
59330,197661,2318,YMCA / SEWICKLEY / POOL,625 BLACKBURN ROAD,,Sewickley,SEWICKLEY,Allegheny County,PA,15143,40.5432136986283,-80.1799764631116,POOLS (INDOOR),2022-01-13T10:50:00,2022-01-14T11:30:00,INITIAL INSPECTION,t,1,LAURIA D. ANTHONY,2,2,2,2,,,7.4,7.4,,600,t,t,f,t,t,t,2022-03-03
59331,197714,677,CHATHAM UNIVERSITY POOL,1 WOODLAND ROAD,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15232,40.4489390620979,-79.9243967503184,POOLS (INDOOR),2022-01-19T13:15:00,2022-01-19T13:30:00,FOLLOW UP INSPECTION,t,2,MURPHY COLLEEN,,,,,,,,,,,t,t,t,t,t,t,2022-01-19
59332,197825,1280,BETHEL PARK HIGH SCHOOL POOL,309 CHURCH ROAD,,Bethel Park,BETHEL PARK,Allegheny County,PA,15102,40.3337249211565,-80.0421248789052,POOLS (SCHOOLS),2022-01-26T15:00:00,2022-01-27T16:00:00,INITIAL INSPECTION,f,1,CONLEY FAON,4,,0,0,,,7.6,7.6,,825,t,t,t,t,t,t,2022-01-26
59333,197865,2366,KEYSTONE OAKS HIGH SCHOOL POOL,1000 KELTON AVENUE,Building & Grounds Dept,Mount Lebanon,PITTSBURGH,Allegheny County,PA,15216,40.3872932492609,-80.0305289553289,POOLS (SCHOOLS),2022-01-28T10:50:00,2022-01-28T11:20:00,INITIAL INSPECTION,f,1,WOLFE CURRIER,3.4,3.2,0.2,0.2,,,7.4,7.4,,475,t,t,t,t,t,t,2022-01-28
59334,198052,2512,HOSANNA HOUSE POOL,807 WALLACE AVENUE,,Wilkinsburg,PITTSBURGH,Allegheny County,PA,15221,40.4437162075465,-79.880568491439,POOLS (INDOOR),2022-02-02T09:30:00,2022-02-11T10:00:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,3,,0,,,,7.6,,,160,t,t,t,t,t,t,2022-02-02
59335,198087,2153,LONGWOOD AT OAKMONT INDOOR CONDO SPA,500 COXCOMB HILL ROAD,,Plum,VERONA,Allegheny County,PA,15147,40.5264077259225,-79.8070998720687,SPA/HOT TUB (INDOOR),2022-02-11T11:15:00,2022-02-14T11:29:00,INITIAL INSPECTION,f,1,WILSON ANGELA,,,,,6.75,,7.2,,,90,t,t,t,t,t,t,2022-02-14
59336,198095,5842,SPENCER FAMILY YMCA - LAP POOL,305 CHURCH ROAD,,Bethel Park,BETHEL PARK,Allegheny County,PA,15102,,,POOLS (INDOOR),2022-02-11T09:00:00,2022-02-14T10:00:00,INITIAL INSPECTION,f,1,CONLEY FAON,4.2,4.2,0,0,,,7.2,7.2,,255,t,t,t,t,t,t,2022-02-17
59337,195976,2535,OXFORD ATHLETIC CLUB SPA,100 VILLAGE CLUB DRIVE,,Pine Township,PINE,Allegheny County,PA,15090,40.6340511885245,-80.0506397510035,SPA/HOT TUB (INDOOR),2021-10-14T15:10:00,2021-10-19T15:30:00,INITIAL INSPECTION,t,1,NOBBS SCOTT,,,,,8.1,,7.8,,,50,t,t,f,t,t,t,2021-10-27
59338,195993,683,DONALDSON ELEMENTARY SCHOOL POOL,600 DONALDSON ROAD,,North Fayette Township,OAKDALE,Allegheny County,PA,15051,,,POOLS (SCHOOLS),2021-10-18T09:30:00,2021-10-19T09:55:00,INITIAL INSPECTION,f,1,MANOWN MARYANN,3,,0.2,,,,7.4,,,120,t,t,t,t,t,t,2021-10-25
59339,196020,1097,MCKNIGHT HOTEL - POOL,4575 MCKNIGHT ROAD,,Ross Township,PITTSBURGH,Allegheny County,PA,15237,40.504524150343,-80.0103673765825,POOLS (INDOOR),2021-10-19T14:10:00,2021-10-20T14:35:00,FOLLOW UP INSPECTION,t,2,NOBBS SCOTT,,,0.8,,,,,,,65,t,t,f,t,t,t,2021-10-29
59340,196055,7695,STAYBRIDGE SUITES POOL,239 SUMMIT PARK DRIVE,,North Fayette Township,Pittsburgh,Allegheny County,PA,15275,40.4483238963364,-80.1784265879519,POOLS (INDOOR),2021-10-18T12:25:00,2021-10-21T13:30:00,INITIAL INSPECTION,t,1,MANOWN MARYANN,4.5,,0.5,,,,7.2,,,65,t,t,f,t,t,t,2022-10-24
59341,196113,7735,COMFORT INN SUITES - POOL,180 GAMMA  DRIVE,,O'Hara Township,Pittsburgh,Allegheny County,PA,15238,40.5018468711803,-79.8603924508392,POOLS (INDOOR),2021-10-21T10:00:00,2021-10-25T11:00:00,INITIAL INSPECTION,t,1,FREEMAN MICHELE,8.6,8.2,0,0,0,0,7.8,7.8,0,65,t,t,f,t,t,t,2023-02-09
59342,196234,2117,STEEL VALLEY MIDDLE / SENIOR HIGH  POOL,3113 MAIN STREET,,Munhall,HOMESTEAD,Allegheny County,PA,15120,40.3884545336341,-79.8985508477989,POOLS (SCHOOLS),2021-10-29T10:15:00,2021-10-29T10:25:00,FOLLOW UP INSPECTION,t,3,WOLFE CURRIER,,,,,,,7.8,,,500,t,t,t,t,t,t,2021-11-01
59343,196276,2455,VIRGINIA MANSIONS CONDO POOL,2120 GREENTREE ROAD,,Scott Township,PITTSBURGH,Allegheny County,PA,15220,40.392329381139,-80.0710259448075,POOL (CONDO INDOOR),2021-11-01T13:30:00,2021-11-02T13:44:00,FOLLOW UP INSPECTION,t,3,WILSON ANGELA,2.8,,0.2,,,,,,,,t,t,t,t,t,t,2021-11-02
59344,196397,2004,JEWISH COMMUNITY CENTER WOMEN'S SPA,5738 FORBES AVENUE,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15217,40.4376687260433,-79.923903960314,SPA/HOT TUB (INDOOR),2021-11-01T15:00:00,2021-11-05T15:30:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,1.2,,0,,,,7.4,,,85,t,t,t,t,t,t,2021-11-05
59345,196398,2005,JEWISH COMMUNITY CENTER MEN'S SPA,5738 FORBES AVENUE,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15217,40.4376687260433,-79.923903960314,SPA/HOT TUB (INDOOR),2021-11-01T15:30:00,2021-11-05T16:00:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,2.6,,0,,,,7.6,,,104,t,t,t,t,t,t,2021-11-05
59346,196481,1016,LA FITNESS POOL - COLLIER,1155 WASHINGTON PIKE,,Collier Township,BRIDGEVILLE,Allegheny County,PA,15017,,,POOLS (INDOOR),2021-11-08T14:45:00,2021-11-09T14:59:00,FOLLOW UP INSPECTION,t,2,WILSON ANGELA,,,0.2,,,,,,,,t,t,f,t,t,t,2021-11-10
59347,196483,1962,W PA SCHOOL FOR BLIND CHILDREN POOL,201 N BELLEFIELD  AVENUE,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15213,40.4492166931144,-79.9537936091181,POOLS (SCHOOLS),2021-11-08T13:20:00,2021-11-09T14:00:00,INITIAL INSPECTION,f,1,ANDERSON IAN,3.6,,0.2,,,,7.4,,,100,t,t,t,t,t,t,2021-11-15
59348,196606,5682,DRURY PLAZA HOTEL SPA-PITTSBURGH,745 GRANT STREET,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15219,40.4429878979993,-79.9948745754815,SPA/HOT TUB (INDOOR),2021-11-12T10:45:00,2021-11-15T11:00:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,,,,,6,,7.5,,,55,t,t,t,t,t,t,2021-11-15
59349,198210,525,MASONIC VILLAGE @ SEWICKLEY WELLNESS CENTER,1000 MASONIC DRIVE,,Aleppo Township,SEWICKLEY,Allegheny County,PA,15143,40.5300295270382,-80.1427186740386,POOLS (INDOOR),2022-02-22T13:30:00,2022-02-23T14:00:00,INITIAL INSPECTION,f,1,LAURIA D. ANTHONY,2.6,2.6,0,0,,,7.4,7.4,,100,t,t,t,t,t,t,2022-03-03
59350,198231,2318,YMCA / SEWICKLEY / POOL,625 BLACKBURN ROAD,,Sewickley,SEWICKLEY,Allegheny County,PA,15143,40.5432136986283,-80.1799764631116,POOLS (INDOOR),2022-02-23T14:45:00,2022-02-24T14:55:00,FOLLOW UP INSPECTION,t,2,LAURIA D. ANTHONY,,,,,,,7.4,,,600,t,t,f,t,t,t,2022-03-03
59351,198232,2319,YMCA /SEWICKLEY VALLEY/ SMALL POOL,625 BLACKBURN ROAD,,Sewickley,SEWICKLEY,Allegheny County,PA,15143,40.5432136986283,-80.1799764631116,POOLS (INDOOR),2022-02-23T15:00:00,2022-02-24T15:10:00,FOLLOW UP INSPECTION,t,2,LAURIA D. ANTHONY,,,,,,,7.4,,,110,t,t,f,t,t,t,2022-03-03
59352,198267,994,CLUB PITTSBURGH SPA,1139 PENN AVENUE,4th Floor,Pittsburgh,PITTSBURGH,Allegheny County,PA,15222,40.4456395440122,-79.9928440472413,SPA/HOT TUB (INDOOR),2022-02-15T11:00:00,2022-02-28T11:45:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,,,,,10,,7.2,,,50,t,t,t,t,t,t,2022-02-28
59353,198338,2203,NORTHGATE JR / SR HIGH SCHOOL - POOL,589 UNION AVENUE,,Bellevue,PITTSBURGH,Allegheny County,PA,15202,40.5064674861828,-80.0569908765234,POOLS (SCHOOLS),2022-03-03T12:00:00,2022-03-04T13:00:00,INITIAL INSPECTION,f,1,LAURIA D. ANTHONY,2,2,0,0,,,7.4,7.4,,700,t,t,t,t,t,t,2022-03-04
59354,198415,2141,OLYMPIC SWIM CLUB POOL,517 TWIN OAK DRIVE,,Penn Hills,PITTSBURGH,Allegheny County,PA,15235,40.4789871423515,-79.7904493952874,POOLS (INDOOR),2022-03-08T11:16:00,2022-03-08T11:50:00,INITIAL INSPECTION,t,1,WILSON ANGELA,1.6,1.4,0.4,0.4,,,7.6,7.6,,375,t,t,f,t,t,t,2022-04-26
59355,198438,1333,BARRACK OBAMA ACADEMY 6-12 POOL,515 N HIGHLAND AVENUE,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15206,40.4670706023025,-79.9225987601717,POOLS (SCHOOLS),2022-03-09T12:00:00,2022-03-10T14:30:00,INITIAL INSPECTION,f,1,FREEMAN MICHELE,1.6,1.6,0.2,0.2,,,7.6,7.6,,430,t,t,t,t,t,t,2022-03-09
59356,198530,1017,LA FITNESS SPA COLLIER,1155 WASHINGTON PIKE,,Collier Township,BRIDGEVILLE,Allegheny County,PA,15017,40.3695047584533,-80.1068553343925,SPA/HOT TUB (INDOOR),2022-03-15T11:55:00,2022-03-16T12:05:00,INITIAL INSPECTION,t,1,WOLFE CURRIER,5.8,,0.8,,,,7.4,,,60,t,t,t,t,t,t,2022-03-16
59357,198625,1298,YMCA THELMA LOVETTE INDOOR POOL,2114 CENTRE AVENUE,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15219,40.4445442143777,-79.97785942764,POOLS (INDOOR),2022-03-22T11:00:00,2022-03-23T12:30:00,INITIAL INSPECTION,t,1,FREEMAN MICHELE,9.6,9.6,0,0,0,0,7.6,7.6,0,250,t,t,f,t,t,t,2022-06-16
